date,text,clean_text,sentiment,compound_score
2024-01-01,This product is terrible. Very disappointed and will not buy again.,this product is terrible. very disappointed and will not buy again.,Negative,-0.7574
2024-01-02,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-03,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-04,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-05,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-06,This product is terrible. Very disappointed and will not buy again.,this product is terrible. very disappointed and will not buy again.,Negative,-0.7574
2024-01-07,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-08,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-09,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-10,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-11,This product is terrible. Very disappointed and will not buy again.,this product is terrible. very disappointed and will not buy again.,Negative,-0.7574
2024-01-12,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-13,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-14,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-15,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-16,This product is terrible. Very disappointed and will not buy again.,this product is terrible. very disappointed and will not buy again.,Negative,-0.7574
2024-01-17,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-18,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-19,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-20,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-21,This product is terrible. Very disappointed and will not buy again.,this product is terrible. very disappointed and will not buy again.,Negative,-0.7574
2024-01-22,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-23,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-24,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-25,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-26,This product is terrible. Very disappointed and will not buy again.,this product is terrible. very disappointed and will not buy again.,Negative,-0.7574
2024-01-27,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-28,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-29,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-30,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-01-31,This product is terrible. Very disappointed and will not buy again.,this product is terrible. very disappointed and will not buy again.,Negative,-0.7574
2024-02-01,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-02,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-03,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-04,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-05,This product is terrible. Very disappointed and will not buy again.,this product is terrible. very disappointed and will not buy again.,Negative,-0.7574
2024-02-06,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-07,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-08,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-09,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-10,This product is terrible. Very disappointed and will not buy again.,this product is terrible. very disappointed and will not buy again.,Negative,-0.7574
2024-02-11,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-12,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-13,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-14,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-15,This product is terrible. Very disappointed and will not buy again.,this product is terrible. very disappointed and will not buy again.,Negative,-0.7574
2024-02-16,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-17,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-18,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-19,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-20,This product is terrible. Very disappointed and will not buy again.,this product is terrible. very disappointed and will not buy again.,Negative,-0.7574
2024-02-21,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-22,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-23,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-24,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-25,This product is terrible. Very disappointed and will not buy again.,this product is terrible. very disappointed and will not buy again.,Negative,-0.7574
2024-02-26,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-27,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-28,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-02-29,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-01,This product is terrible. Very disappointed and will not buy again.,this product is terrible. very disappointed and will not buy again.,Negative,-0.7574
2024-03-02,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-03,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-04,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-05,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-06,This product is terrible. Very disappointed and will not buy again.,this product is terrible. very disappointed and will not buy again.,Negative,-0.7574
2024-03-07,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-08,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-09,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-10,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-11,This product is terrible. Very disappointed and will not buy again.,this product is terrible. very disappointed and will not buy again.,Negative,-0.7574
2024-03-12,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-13,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-14,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-15,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-16,This product is terrible. Very disappointed and will not buy again.,this product is terrible. very disappointed and will not buy again.,Negative,-0.7574
2024-03-17,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-18,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-19,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-20,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-21,This product is terrible. Very disappointed and will not buy again.,this product is terrible. very disappointed and will not buy again.,Negative,-0.7574
2024-03-22,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-23,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-24,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-25,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-26,This product is terrible. Very disappointed and will not buy again.,this product is terrible. very disappointed and will not buy again.,Negative,-0.7574
2024-03-27,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-28,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-29,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-30,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-03-31,This product is terrible. Very disappointed and will not buy again.,this product is terrible. very disappointed and will not buy again.,Negative,-0.7574
2024-04-01,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-04-02,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-04-03,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-04-04,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-04-05,This product is terrible. Very disappointed and will not buy again.,this product is terrible. very disappointed and will not buy again.,Negative,-0.7574
2024-04-06,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-04-07,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-04-08,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
2024-04-09,I love the new product! Absolutely fantastic and user-friendly.,i love the new product! absolutely fantastic and user-friendly.,Positive,0.855
